code,name,source_a_count,source_b_count,merged_count,fix_from,price_mismatch,quality_issues
688799,华纳药厂,1166,1166,1166,TDX+BaoStock,4,0
688800,瑞可达,1159,1159,1159,TDX+BaoStock,2,0
688802,沐曦股份,91,91,91,TDX+BaoStock,0,0
688805,健信超导,86,86,86,TDX+BaoStock,0,0
688807,优迅股份,89,89,89,TDX+BaoStock,0,0
688808,联讯仪器,8,8,8,TDX+BaoStock,0,0
688809,强一股份,82,82,82,TDX+BaoStock,0,0
688811,有研复材,18,18,18,TDX+BaoStock,0,0
688813,泰金新能,25,25,25,TDX+BaoStock,0,0
688816,易思维,53,53,53,TDX+BaoStock,0,0
688818,电科蓝天,54,54,54,TDX+BaoStock,0,0
688819,天能股份,1282,1282,1282,TDX+BaoStock,5,0
688820,盛合晶微,11,11,11,TDX+BaoStock,0,0
688981,中芯国际,1286,1292,1292,TDX+BaoStock,0,0
